x,y,t,p
98,177,402067352,-1
122,115,402067388,-1
87,107,402067390,-1
117,114,402067391,1
95,139,402067398,-1
87,155,402067402,-1
90,111,402067435,1
112,138,402067484,-1
101,123,402067489,-1
123,116,402067493,-1
110,2,402067497,-1
117,119,402067570,-1
117,111,402067592,1
122,112,402067627,-1
116,86,402067665,-1
110,140,402067745,-1
91,103,402067766,1
26,140,402067781,-1
94,107,402067812,1
101,97,402067901,-1
51,142,402067911,-1
82,96,402067965,-1
109,162,402067994,-1
113,92,402068005,-1
55,138,402068021,1
112,158,402068081,-1
121,110,402068085,-1
120,109,402068160,-1
119,116,402068165,-1
33,124,402068170,-1
50,176,402068176,-1
85,91,402068188,1
82,93,402068240,1
91,96,402068258,-1
109,128,402068336,-1
116,117,402068362,1
23,142,402068389,1
82,94,402068412,1
113,120,402068413,-1
102,124,402068419,-1
94,144,402068460,1
86,89,402068461,1
91,113,402068487,-1
119,108,402068512,-1
93,115,402068590,-1
55,157,402068606,-1
81,101,402068632,1
88,98,402068637,-1
88,98,402068640,-1
87,98,402068648,-1
88,108,402068679,-1
123,113,402068684,1
89,109,402068690,-1
117,116,402068765,1
105,126,402068786,-1
116,120,402068788,-1
94,116,402068797,-1
117,107,402068834,1
88,88,402068839,1
106,128,402068911,-1
90,148,402068956,-1
98,178,402069044,-1
116,118,402069100,1
90,109,402069133,-1
86,149,402069138,-1
93,113,402069139,-1
114,120,402069156,1
106,93,402069173,-1
92,113,402069211,-1
118,95,402069216,-1
111,126,402069220,-1
106,134,402069261,-1
115,118,402069267,1
115,119,402069335,1
116,116,402069336,-1
85,93,402069346,1
117,109,402069361,1
117,115,402069387,1
101,120,402069401,-1
86,95,402069435,1
85,90,402069472,1
118,117,402069491,-1
100,122,402069501,-1
100,175,402069509,-1
108,105,402069528,1
112,152,402069550,1
121,113,402069585,-1
95,117,402069586,-1
99,119,402069601,-1
81,98,402069632,1
117,110,402069751,1
82,92,402069774,1
83,101,402069846,1
117,113,402069858,1
107,125,402069897,-1
118,114,402069963,1
72,140,402070057,-1
87,107,402070061,-1
92,114,402070062,-1
81,95,402070102,1
91,114,402070149,-1
109,104,402070157,-1
80,99,402070210,1
85,94,402070230,1
113,122,402070231,-1
121,114,402070237,-1
95,88,402070272,1
128,125,402070278,1
113,155,402070326,-1
80,100,402070400,1
120,111,402070417,-1
110,127,402070419,-1
97,118,402070420,-1
88,107,402070421,-1
119,115,402070421,-1
96,117,402070451,-1
117,112,402070459,1
117,108,402070495,1
81,94,402070556,1
54,127,402070601,1
50,178,402070604,-1
39,177,402070609,-1
88,109,402070610,-1
110,99,402070661,-1
114,119,402070669,1
107,104,402070727,-1
116,152,402070774,-1
120,115,402070785,-1
112,121,402070810,1
116,91,402070861,-1
120,114,402070863,-1
116,111,402070887,1
53,116,402070890,-1
104,125,402070902,-1
118,118,402070950,-1
111,159,402070961,-1
98,118,402070963,-1
116,106,402070978,1
91,104,402070997,-1
111,131,402071033,-1
94,115,402071040,-1
93,100,402071059,-1
103,126,402071066,-1
115,117,402071089,1
86,101,402071095,-1
85,104,402071122,-1
112,122,402071127,-1
85,89,402071150,1
110,2,402071158,-1
116,114,402071188,1
90,113,402071220,-1
125,115,402071263,1
114,121,402071308,-1
89,109,402071319,-1
116,113,402071356,1
88,108,402071404,-1
107,136,402071409,-1
93,115,402071410,-1
112,139,402071464,-1
108,103,402071491,-1
89,108,402071496,-1
92,112,402071502,-1
109,144,402071502,-1
101,123,402071588,-1
109,103,402071593,-1
92,115,402071596,-1
109,97,402071604,-1
49,154,402071607,-1
117,119,402071679,-1
119,116,402071768,-1
83,143,402071770,-1
119,117,402071780,-1
81,93,402071807,1
1,123,402071823,1
94,116,402071859,-1
90,99,402071861,-1
101,113,402071863,-1
100,112,402071884,-1
119,108,402071890,-1
120,108,402071892,-1
102,121,402071951,-1
104,127,402071997,-1
111,151,402071998,1
85,143,402072013,-1
82,97,402072076,1
93,114,402072077,-1
60,151,402072079,-1
116,141,402072086,-1
44,167,402072086,-1
118,107,402072090,-1
117,111,402072100,1
117,93,402072176,-1
86,155,402072221,-1
112,157,402072254,-1
106,109,402072269,-1
120,109,402072354,-1
116,115,402072390,1
133,99,402072418,-1
115,120,402072423,-1
39,163,402072425,-1
93,139,402072427,1
91,114,402072505,-1
102,113,402072513,-1
91,113,402072517,-1
120,110,402072595,-1
111,156,402072612,-1
99,118,402072617,-1
52,177,402072626,-1
109,98,402072626,-1
73,148,402072697,-1
87,108,402072702,-1
102,125,402072772,-1
129,100,402072781,-1
122,110,402072785,-1
120,99,402072788,-1
88,109,402072818,-1
81,96,402072886,1
108,133,402072895,-1
100,120,402072957,-1
42,170,402072976,-1
81,97,402073023,1
119,87,402073037,-1
117,118,402073041,-1
89,111,402073056,1
81,168,402073129,-1
92,99,402073163,-1
119,115,402073219,-1
84,95,402073265,1
81,92,402073273,1
114,153,402073310,-1
89,107,402073317,-1
84,90,402073342,1
121,83,402073397,-1
117,114,402073403,-1
105,121,402073404,-1
133,81,402073407,-1
93,95,402073408,-1
112,89,402073408,-1
87,106,402073423,-1
110,87,402073451,-1
116,112,402073478,1
105,128,402073483,-1
97,118,402073489,-1
89,148,402073498,-1
121,140,402073505,-1
106,103,402073544,1
116,117,402073568,1
90,113,402073575,-1
95,117,402073613,-1
84,91,402073653,1
116,107,402073658,1
120,114,402073671,-1
84,94,402073688,1
92,115,402073744,-1
118,117,402073749,-1
87,107,402073751,-1
